,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(emp),1.7470774277689574,0.09428714739070512,1.5717472303474729,1.6830368605697341,1.744486643436252,1.80907584148187,1.9425017532366882,0.0030995168668996238
a(empego),1.8282317183920396,0.09596588788204616,1.6481588806944825,1.764272801589559,1.8253028265654156,1.888935064670678,2.0260074755131896,0.0031992147730919795
a_std,0.4630716432367571,0.057187733526134286,0.36796654690512576,0.4218109603695752,0.4583024569167039,0.49846158179640715,0.586010879588351,0.001914591195625051
a_subj(emp).0,2.51670823958596,0.25177562962768607,2.077164522046849,2.3363110639025475,2.499351556514212,2.6747529928609497,3.0706951544947225,0.008717987896710643
a_subj(emp).1,2.027941941976298,0.21752299596328822,1.650044232954646,1.876855786219832,2.012747843602529,2.1554553464256427,2.5135317564971182,0.006981745948762226
a_subj(emp).2,2.3228611068054645,0.3132058978920346,1.8026696256491692,2.103450941451751,2.293754684735287,2.506015665552882,3.025604153567408,0.01303002487146088
a_subj(emp).4,2.448856314023361,0.20743641171949667,2.085603351386937,2.3045884099110303,2.431001488973301,2.5798422377381547,2.894910188121731,0.005601984734092146
a_subj(emp).5,1.2663345889705027,0.22213100766640817,0.9261255156007426,1.1111675087727664,1.2339082954555494,1.3783865487653708,1.8073133197456477,0.008628691927764056
a_subj(emp).6,1.6935915751984423,0.14788013318669152,1.4316310390374012,1.5901644764518224,1.6846595820237438,1.7880881129623356,2.0170400540093865,0.0032953429814805237
a_subj(emp).7,1.188393534584615,0.08846832299809698,1.0239806758046985,1.1284123554310854,1.1853945113884095,1.2452981389176674,1.373787246765528,0.002062790560508949
a_subj(emp).8,1.752611232397632,0.13054289859437102,1.52281761645018,1.6604810351989188,1.7434930800418567,1.8364705611670058,2.02300038398628,0.002943223273811296
a_subj(emp).9,1.583539152668012,0.1439106826675374,1.3287249239525059,1.4811263512870836,1.5719517970293595,1.6752773867862545,1.887458489092379,0.003954978195749337
a_subj(emp).10,1.677572834515593,0.14322508928846486,1.418968536248259,1.5743770667282866,1.6721366438854754,1.7738055139527757,1.9772522589394557,0.003422705969911026
a_subj(emp).11,1.0027513440302436,0.0829867534402676,0.853409703984862,0.9441600514021415,0.9990212111941195,1.057674677615074,1.17428837695055,0.0022090117351304503
a_subj(emp).12,2.127226785732261,0.19895660007479413,1.7752311057594357,1.9916900887746232,2.114614676690722,2.2497621117153286,2.561828539261392,0.005932337639023006
a_subj(emp).13,1.9004763848331452,0.16504526610041248,1.6217410816454672,1.786338232940217,1.885304991242699,1.9935157421529832,2.2672100819853784,0.00468114770540119
a_subj(emp).14,1.2378008167625576,0.11466367496908726,1.0236339237322776,1.1601398780640495,1.233563859813565,1.3098278383739026,1.4823519681474435,0.0028780700538218514
a_subj(emp).15,1.9589919444117705,0.1302710414310079,1.7221802111943587,1.8672855434992415,1.9511192560273785,2.0440871911581895,2.2344355793353956,0.003382419719869331
a_subj(emp).16,1.21962172680078,0.10689179945692964,1.0252727718538364,1.1464880076017627,1.2145248152575143,1.288141212812354,1.4441186085775006,0.002968696284020387
a_subj(emp).17,1.3603127364250913,0.11051223774598094,1.1510364804578643,1.2837823717728998,1.359939836603476,1.4347245107499007,1.5848101638946483,0.0033824115755571177
a_subj(emp).18,1.793717313290377,0.13124511615230994,1.5519995569423621,1.7044386374403342,1.7892003994721695,1.8782809230615698,2.0655673506620813,0.0034066228686007874
a_subj(emp).19,1.9214957855897663,0.12621448973119864,1.6884554705647017,1.8358624600244404,1.9127623186894314,2.002764310515883,2.1798210532266076,0.002786403427701698
a_subj(emp).21,1.3211239252466953,0.0876481157802478,1.158590411538562,1.262914826861058,1.3168208655068456,1.377781720758104,1.504153601165085,0.002056231580556419
a_subj(emp).22,1.3555285268529547,0.14453745014374605,1.1079772706461248,1.2526442490142198,1.3426394424921175,1.4473583591870507,1.6710495935454555,0.004178354063915363
a_subj(emp).23,1.5817726171678759,0.24451484002628476,1.212061477641671,1.4087259699637618,1.5426199644448826,1.717837861292865,2.1609671718075725,0.010438648347788081
a_subj(emp).24,1.7982584552093075,0.2659991082893333,1.3596590900253605,1.610940400911991,1.765765514010126,1.962869266704721,2.3876115453863154,0.010097624038538618
a_subj(emp).25,2.9029300298343688,0.21998708837243763,2.522065643642455,2.7483335209190565,2.885993086477053,3.0413360718063327,3.384011708379369,0.0075437987423602835
a_subj(emp).26,1.7344876264376587,0.11376005054404088,1.5302626365787206,1.6544488892417606,1.7306078086848151,1.809137325968891,1.9690320232357488,0.002934197746034545
a_subj(emp).27,1.7676476030929393,0.11627989136890436,1.5537766932311652,1.6886293711932918,1.7628467329347086,1.8440405154041348,2.0128237143563616,0.0031277265183425954
a_subj(emp).28,1.468633352163413,0.11359696741760332,1.261571521574015,1.3865881811922274,1.4650109902283668,1.5419847651804308,1.7046070997698934,0.003223716714467489
a_subj(emp).29,2.299041638567351,0.15473276259216992,2.015246545051686,2.1930648934679655,2.290207958420524,2.3993538374275287,2.6197264330282217,0.003934732013265566
a_subj(emp).30,1.6032210890891696,0.13180860536775185,1.3648696853087032,1.5120962476704722,1.5941639969232735,1.685949297939867,1.879539689647281,0.003338374983429985
a_subj(emp).31,1.8260978248975994,0.11820056487772305,1.6109713636762395,1.7433693799114987,1.8219230048656927,1.9031932838957053,2.0691247207854024,0.002941809424374062
a_subj(emp).32,1.5206382014835411,0.13794085915127163,1.2661993178178919,1.427706956890776,1.5150991848743391,1.60725688265865,1.8225461168421555,0.003837849915856677
a_subj(empego).0,2.035035842018017,0.28009711286466443,1.579502610404889,1.8433670339547656,2.0061816166020696,2.1890730068457893,2.694867310544657,0.01061775999333518
a_subj(empego).1,2.1193707517288574,0.23150240806524572,1.7274880980810248,1.9575735217340242,2.1002656496144034,2.2567871711976566,2.648648344831398,0.007817119634989688
a_subj(empego).2,1.851366007932451,0.2621887287181591,1.4168102486821486,1.6677557149197015,1.8197862019491833,2.008409031743338,2.467171347742533,0.009768084107795632
a_subj(empego).4,2.094215822221779,0.25323847029334545,1.6833283642233963,1.923789388364447,2.0683661402668085,2.2348235147565783,2.680653512461636,0.008258047454246065
a_subj(empego).5,1.6028332987383658,0.24511289983450713,1.2213559030984362,1.4344276939186291,1.5708054505151696,1.7361977919538942,2.196648639992742,0.008799100023783141
a_subj(empego).6,1.6496677508339541,0.1442583512704408,1.3849866114293738,1.549147048303344,1.6443117711609587,1.7421110774215234,1.9442584789546369,0.0035574719661848977
a_subj(empego).7,1.5077375023687527,0.10166879621486531,1.3193233555605586,1.4368467402811886,1.50435881032691,1.5736787806441281,1.7154620990898888,0.0020696696073217386
a_subj(empego).8,1.9912921781303452,0.14055655169487444,1.7319237010173019,1.8942823995963785,1.983603041345647,2.0813720935666526,2.284509402826994,0.0037343177017634564
a_subj(empego).9,1.510011786485224,0.12551694361887147,1.2783603729397086,1.4233995376853072,1.5041261095643623,1.5914286123618562,1.7714651374657426,0.0030634378155922066
a_subj(empego).10,2.618859852540268,0.22812813552952832,2.224231420110601,2.4544649163597687,2.6044915532934696,2.766114971040578,3.091938199511602,0.0069479137796710135
a_subj(empego).11,1.449323586189955,0.2055089562940346,1.1224654514242047,1.3080026821023534,1.4252002854946473,1.5623227577019052,1.917986585894061,0.006066335798256098
a_subj(empego).12,1.9444935625826754,0.3258761562652954,1.4055705925304174,1.7132748291031832,1.9155088053778822,2.1368936403560665,2.6909098975256964,0.012837326134126945
a_subj(empego).13,1.442850187775926,0.1514561158003897,1.187372357701289,1.3366653205249959,1.4316464433531961,1.5314562264007656,1.7698030065330004,0.004989620293872249
a_subj(empego).14,2.2889982785025094,0.31183653020963237,1.771244055391807,2.069711848567047,2.2557021741206276,2.4650483404808305,3.003937263876413,0.010772576130580542
a_subj(empego).15,1.5572500681473407,0.10931842986136638,1.3529992744497459,1.484159763542556,1.5529271848974373,1.6271171195491219,1.7818723082057362,0.0023066769680803586
a_subj(empego).16,1.2209269130028713,0.09690710609272447,1.0431333150514808,1.15384859589407,1.2172987207329828,1.2838735830436276,1.4288899165345335,0.0021929953474107587
a_subj(empego).17,1.3444733858503515,0.24671892162502174,0.9309113230717737,1.1748395527437516,1.316918057323244,1.4907528985340095,1.8877574169383284,0.008850671242915619
a_subj(empego).18,1.7284977943276132,0.12007012702949102,1.5094220902720674,1.6434031886992906,1.7233234329110192,1.8071052063543733,1.9717025075681032,0.003059224293544496
a_subj(empego).19,1.832426246663521,0.11595861270143505,1.6195298284246555,1.7519763322608504,1.8277525557809366,1.9081573701144148,2.073675352923165,0.0027721829715463557
a_subj(empego).21,0.9957160007861349,0.09211582466743676,0.829848672052949,0.9320338951953608,0.9906951639688399,1.053954102151287,1.194086357535614,0.002373057441373599
a_subj(empego).22,2.2586976250860045,0.1956209863411254,1.9256723166562741,2.1232611597110598,2.2405428583460605,2.3781554529583997,2.6917488925758035,0.005350177628436303
a_subj(empego).23,1.5224068247816258,0.27153178660424826,1.0860462778603834,1.3283392149926208,1.4879729376684427,1.680987339548829,2.144994729227749,0.011824977760752827
a_subj(empego).24,2.0848560718885754,0.2772252876049957,1.6247166023677708,1.8866125286161473,2.0585478847259466,2.245032220448734,2.723320068765058,0.009635703494225722
a_subj(empego).25,2.0362518684210396,0.32648524919716926,1.5114957895658812,1.8023697081258665,1.9986580648452024,2.233344731416259,2.7656493706799683,0.011747799935000032
a_subj(empego).26,1.8391216172035054,0.1553667710565363,1.5711852249401066,1.7295249643653197,1.8282949492689227,1.9358672292761514,2.1621756447020704,0.00419887978774272
a_subj(empego).27,1.8792506763758334,0.27249928129035994,1.4237733447293022,1.6884019458849184,1.8558218199544316,2.0382006989790415,2.4951779567534738,0.00943535993023446
a_subj(empego).28,1.544742231680994,0.20192784501808625,1.2261362344116604,1.4033204369110408,1.52247628818093,1.6583634954270126,2.011363263998045,0.006426158397941008
a_subj(empego).29,2.287424280759125,0.1796360496836721,1.9652793400026878,2.163841266825307,2.2803299161021924,2.3983377520856766,2.6771668102956827,0.0048124276397245955
a_subj(empego).30,2.542674876742862,0.21337042344145024,2.170885720723937,2.3891087644488644,2.5283913313373088,2.6780277557431904,2.99990723942522,0.005637011878179931
a_subj(empego).31,1.4833233505685226,0.10623802745495609,1.2897145739397953,1.4105164301278585,1.4776084687712994,1.549268453824706,1.7081092495115544,0.002331356475255782
a_subj(empego).32,2.4509334490316648,0.3281255989540983,1.9040047729724852,2.22194952521579,2.4161129457354362,2.6387710644710727,3.2207142069633727,0.011317975688941287
t,0.6067966369910115,0.023807627158040832,0.5615673243130418,0.5908147791606095,0.605886930327646,0.6224934602872967,0.6553183626585122,0.0006951870888268961
t_std,0.12151758494940876,0.017947688421777894,0.09128208955916636,0.10885472302540886,0.11989035359231927,0.1320171857560179,0.16150290025887643,0.00043037742554597765
t_subj.0,0.6378419560127966,0.041121560264103345,0.5550441944506782,0.6107200998195924,0.6377346829805169,0.6664257428888448,0.7155535371542326,0.0016662503137255685
t_subj.1,0.6794644220322743,0.03679632592863717,0.6032067258778376,0.6552554904274666,0.6809344939117109,0.7043800997568478,0.7488267168217317,0.0015188635362294307
t_subj.2,0.46622370170033567,0.030871954386828843,0.40474744517383354,0.4462441426628847,0.4663645647474596,0.4860780656334172,0.5269465867278984,0.0012745356986247718
t_subj.4,0.6711428682313431,0.04250248290588993,0.5850271139270972,0.643086170747094,0.6728592262588285,0.7001428411554355,0.7497798334276751,0.0016629647912035806
t_subj.5,0.557101639736317,0.020410470493608432,0.513705750567221,0.5443654189028366,0.5579208225320773,0.5709803578282161,0.5954666348599297,0.0008740571119406433
t_subj.6,0.583244132652588,0.027050471200406608,0.5270397994934348,0.5659479529671265,0.5844679487046219,0.6019432748239221,0.6327870653034676,0.0008533520737121026
t_subj.7,0.5958588576706172,0.02125631967848503,0.5501886519948175,0.5822257748819126,0.5968800909343329,0.6102440615310201,0.6351390301664935,0.0005812386230917687
t_subj.8,0.5949792363603398,0.03110959825912558,0.531142168169826,0.5746469320935936,0.5967412620553052,0.6167192543522303,0.6531847783513465,0.0008036509195390283
t_subj.9,0.943847158853954,0.029612556519678673,0.8772819708251643,0.9249716356703634,0.9469831899200768,0.9648282686071152,0.99437231455092,0.0009157997267456458
t_subj.10,0.7248513021774894,0.04314386901339755,0.6393275584813255,0.6939373763605517,0.7251401236781618,0.7582531411516267,0.8017738442290597,0.0012857342163209947
t_subj.11,0.608407069089963,0.019623485148572095,0.5673679101290214,0.5951857414066297,0.6091986839817263,0.6218478207814159,0.6440016629085694,0.0006397316785938396
t_subj.12,0.5688121296453836,0.030847296483919144,0.5026304284033409,0.5489107106522739,0.570473657687545,0.5907653204417702,0.6226688155224396,0.0012710550329196487
t_subj.13,0.7047637599111027,0.02564599057908384,0.6493009035331792,0.6887261936381341,0.7054006402371833,0.7226198675560028,0.7510939694452021,0.0010733127044319523
t_subj.14,0.5054712966257873,0.026138138896791806,0.45050697343678275,0.48866218857990196,0.5070336362546336,0.5237935684136503,0.553186646224624,0.0008823704927990427
t_subj.15,0.5904590553337655,0.02593748548202118,0.5349314899742084,0.5749375255938494,0.5919452160622637,0.6082575256036177,0.6365548952193393,0.0007048960004835198
t_subj.16,0.5552476116570049,0.020945513464897838,0.5154985475135176,0.5408856633418754,0.5546421984709683,0.5698047907314936,0.595988473182505,0.000640663333748112
t_subj.17,0.5276605843688177,0.025560904612370403,0.4811371826651793,0.5098458963089924,0.5254081572148968,0.5458747403179717,0.5785152760671629,0.001031857761194893
t_subj.18,0.6543980504315517,0.035482915892810454,0.5872362383886337,0.6306074663877644,0.6538376767757893,0.6777392236790366,0.7241526958093953,0.0008006874378567428
t_subj.19,0.5212897964231755,0.02685183666197277,0.4640469332039279,0.5044695040562336,0.5230584013564905,0.5403816100259072,0.5689299929639623,0.0007426259368914768
t_subj.21,0.4840524949887908,0.019470867180324335,0.4420482410555754,0.47170994357274854,0.48529167849387417,0.49753074474088615,0.5190476561281067,0.000562107163527045
t_subj.22,0.5920991855001245,0.030165434848164894,0.527637235799861,0.5720457180610476,0.5938561375169802,0.6136138871340954,0.6450785578329477,0.001186270969933967
t_subj.23,0.5519460935579322,0.026633581111840433,0.4949927296085145,0.5349226123636738,0.5542425984054463,0.5706991421899885,0.5980944711200531,0.0013664802496473297
t_subj.24,0.600451816993067,0.030208461738035878,0.5383128361236165,0.5808661348389657,0.6026192959123131,0.6217227967624798,0.6537140079515535,0.0013422809797810039
t_subj.25,0.9382598229364483,0.04558686219075863,0.8288562920247775,0.9136554240823231,0.9455988412505854,0.9700678488833145,1.0090917019476566,0.0018904025414186725
t_subj.26,0.5791752039707334,0.02880346818180101,0.5185986884177969,0.5607664101432743,0.5813019309835689,0.5984511151895932,0.6323024884825335,0.0008727287476351455
t_subj.27,0.7681729508382629,0.030907541931399354,0.7036861119792004,0.7480443395598064,0.7697165377221944,0.7898680893313121,0.8227408661888838,0.0010556131902762238
t_subj.28,0.6330571499357256,0.027225415032952307,0.5749258970189088,0.6151021043312441,0.6348386841281383,0.6521710543411772,0.6810751937205348,0.0010400898614478687
t_subj.29,0.5622056148013825,0.04137579120172776,0.47868369619222395,0.5346333003734274,0.5637276537499529,0.5898812593094397,0.6396174236965144,0.0010493686685394319
t_subj.30,0.4384493730496024,0.03172998807389985,0.3696682086146295,0.41827866989729184,0.43982809750345375,0.4608041789744426,0.49601860333248826,0.0011142659605114379
t_subj.31,0.5594280217394756,0.02941420901638518,0.5005413028640361,0.540103823054645,0.5596801424688224,0.5796048185764286,0.6159948679968732,0.0008402641237640921
t_subj.32,0.4267498915112667,0.031637200217709334,0.3501298103577442,0.4092162949515293,0.430387107080781,0.44869109944058777,0.47867512000416723,0.0011415838188414784
sv,0.4134522337023197,0.13627973969196075,0.0982920850144032,0.33271768006681407,0.42631498681505725,0.5076590022853489,0.6419664334434705,0.0069427767399651095
sz,0.07158038128559012,0.0533777467881527,0.0029733831991994083,0.02851914045002499,0.0602910563705249,0.10529979545052592,0.19424458449639506,0.0013256947949170756
st,0.24270929752553486,0.014231542829994703,0.2154965219448811,0.23283016130286874,0.24282092940395486,0.2523461932162569,0.2705531427421468,0.0005557670413100571
z(emp),0.48683317928671516,0.018869829921429795,0.4505829325136411,0.4738943748554256,0.48648433561951454,0.4995822894265368,0.5240962613191651,0.000860207353543879
z(empego),0.49510522711725824,0.021493378997148156,0.45393328602629746,0.4801177560755315,0.49511970206009326,0.50946138278941,0.5371769523182867,0.001191305178089188
z_std,0.2599895879062896,0.033221483998290495,0.19387907565347268,0.23840818033383165,0.2599738420698899,0.28209787893918314,0.32393770821516854,0.0016362441073491847
z_subj(emp).0,0.4598347661914564,0.04853388314614663,0.3665485801364649,0.4264342992219952,0.45857649674885786,0.4929800909323369,0.5562277116952495,0.001442418254508524
z_subj(emp).1,0.5353935359775064,0.054316190101918564,0.43293055826896165,0.49819203483612423,0.5340568798829773,0.5725143071397925,0.6420412768698666,0.0018359163784089777
z_subj(emp).2,0.4852855850340071,0.0558220789035614,0.3776382481964561,0.44763861341671063,0.4843731012035704,0.5239004257122584,0.5962315851777726,0.0017632511456471059
z_subj(emp).4,0.4681077129620469,0.05137110175661736,0.36839384537143566,0.4330821434967728,0.4675000960863817,0.5027151832187771,0.5697482866819777,0.0015143874016978077
z_subj(emp).5,0.5190416341610466,0.06292461239768912,0.39922617406775357,0.47638348994729074,0.5170630917304663,0.5618367040024516,0.6474245181330129,0.0021859139282014812
z_subj(emp).6,0.5564915296536393,0.04975357445000966,0.458761036605904,0.5233909870499217,0.5562533665494294,0.5887776451473472,0.656429575313861,0.0015453251514051982
z_subj(emp).7,0.45166190614063323,0.044804620748800955,0.36453362885642726,0.4204240253776978,0.4512298673690472,0.48231097814149715,0.5400501767982104,0.000895823210848834
z_subj(emp).8,0.3706014697291143,0.04419131644280327,0.2870477527483119,0.3395917235283909,0.36977525112249165,0.40044933122696375,0.45806519744475926,0.001081353856553182
z_subj(emp).9,0.48191771194521466,0.049646124653251855,0.3889354966628182,0.44759351832506594,0.4807722759059223,0.5151136430454792,0.5832300374997579,0.0013103538598801634
z_subj(emp).10,0.5396301804043602,0.050084373154577845,0.4424976992277444,0.5050022534867932,0.5396293718862539,0.5747242183774488,0.6341603960443075,0.0015658260937123387
z_subj(emp).11,0.519476723930839,0.048446409858243146,0.4258501656573251,0.4862459100189333,0.5195433096168125,0.5522870056505959,0.6143254208017179,0.0013229717667611672
z_subj(emp).12,0.5279584417732981,0.05179252072667499,0.42682861877946604,0.4925453389921898,0.5275974273741634,0.5640489986119126,0.6274729937543123,0.0017384363693816734
z_subj(emp).13,0.5047148722110243,0.049548993902764626,0.4106121050306905,0.4708132140666979,0.5046116477736777,0.5388219843715827,0.600162391352667,0.0015138554777428283
